연도,누적등록대수
1966,50000
1967,60000
1968,80000
1969,110000
1970,130000
1971,140000
1972,150000
1973,170000
1974,180000
1975,190000
1976,220000
1977,280000
1978,380000
1979,490000
1980,530000
1981,570000
1982,650000
1983,790000
1984,950000
1985,1110000
1986,1310000
1987,1610000
1988,2040000
1989,2660000
1990,3390000
1991,4250000
1992,5230000
1993,6270000
1994,7400000
1995,8470000
1996,9550000
1997,10410000
1998,10470000
1999,11160000
2000,12060000
2001,12910000
2002,13950000
2003,14590000
2004,14930000
2005,15400000
2006,15900000
2007,16430000
2008,16790000
2009,17330000
2010,17940000
2011,18440000
2012,18870000
2013,19400000
2014,20120000
2015,20990000
2016,21800000
2017,22530000
2018,23200000
2019,23680000
2020,24370000
2021,24910000
2022,25500000
2023,25950000