시도,연도,분기,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
서울,2020,1,25317,4759,539,1054,1606,1613,665,297,1159,1475,1598,1342,1148,1115,903,709,1386,125,332,302,19,601,99,1905,423,95,48
부산,2020,1,6995,1432,161,306,509,540,215,88,164,373,467,437,315,321,158,187,282,28,70,70,2,171,21,522,99,46,11
인천,2020,1,4476,869,91,173,320,372,160,52,73,232,280,311,171,213,99,127,160,14,42,50,2,125,12,333,139,52,4
대구,2020,1,5154,1035,145,199,378,370,185,53,131,276,330,352,229,223,135,164,206,21,62,50,1,117,22,358,77,18,17
광주,2020,1,3182,641,69,118,228,244,124,34,43,186,211,234,111,138,82,91,128,3,25,38,0,79,8,241,90,11,5
대전,2020,1,3071,581,84,137,184,239,96,51,62,164,193,209,120,129,75,85,139,11,27,30,3,112,7,249,58,22,4
울산,2020,1,1584,303,27,57,121,118,55,22,30,84,111,116,64,71,30,53,73,3,12,13,0,29,4,109,39,32,8
경기,2020,1,20195,3849,431,835,1332,1628,666,216,240,1070,1364,1569,693,1014,510,567,844,61,186,206,16,553,45,1631,523,111,35
강원,2020,1,2221,420,47,93,186,179,89,37,38,129,149,155,75,89,34,53,94,11,16,27,2,59,3,143,74,13,6
충북,2020,1,2158,369,49,113,161,166,88,36,28,124,142,146,82,88,38,66,86,3,10,20,0,59,3,198,53,28,2
충남,2020,1,2654,474,56,129,240,200,81,39,37,135,186,181,101,100,46,84,103,7,15,22,1,57,4,240,82,27,7
전북,2020,1,3002,596,64,140,243,217,100,35,47,157,184,200,111,99,64,72,125,8,28,24,2,77,11,295,79,16,8
전남,2020,1,2637,481,48,123,251,196,97,43,37,163,158,163,76,97,32,78,126,8,15,31,3,50,12,247,70,27,5
경북,2020,1,3172,568,75,177,284,253,116,50,43,164,207,194,117,123,41,97,109,9,15,24,3,76,1,257,117,37,15
경남,2020,1,4886,966,140,233,352,365,201,73,58,278,309,375,162,195,80,135,206,10,44,41,1,126,8,329,120,68,11
제주,2020,1,1032,177,24,35,72,79,37,19,28,54,66,72,38,45,21,26,36,4,7,12,1,35,3,86,49,3,3
세종,2020,1,457,86,9,18,23,25,15,6,6,24,28,63,17,27,13,18,5,2,4,3,0,7,1,41,14,1,1
서울,2020,2,25802,4848,556,1084,1636,1662,688,299,1193,1493,1612,1375,1176,1128,915,725,1406,130,336,301,18,627,101,1916,430,99,48
부산,2020,2,7069,1452,161,312,510,544,212,88,163,380,473,450,327,322,161,188,284,28,75,71,2,168,21,516,103,47,11
인천,2020,2,4524,878,90,169,327,372,168,52,76,233,285,311,174,217,99,128,164,14,41,50,2,134,13,324,148,51,4
대구,2020,2,5202,1042,146,204,380,369,187,53,136,281,330,355,233,224,135,166,203,21,63,51,1,121,22,362,81,18,18
광주,2020,2,3200,648,71,116,227,246,121,34,43,191,210,237,110,138,85,92,127,3,25,39,0,78,8,240,93,13,5
대전,2020,2,3092,585,83,139,184,244,95,50,62,164,191,215,121,132,76,84,143,11,30,28,3,113,7,248,58,22,4
울산,2020,2,1581,302,26,58,121,116,54,23,33,84,109,114,65,71,30,52,73,3,11,13,0,30,4,110,40,31,8
경기,2020,2,20586,3923,446,858,1354,1669,670,218,243,1104,1369,1573,705,1022,533,566,857,60,185,214,16,575,44,1670,558,118,36
강원,2020,2,2241,428,45,94,186,180,89,39,36,130,150,155,75,90,33,55,94,11,16,28,2,59,3,147,76,14,6
충북,2020,2,2175,374,47,109,166,170,88,39,27,125,138,149,82,90,35,67,86,3,9,20,0,61,3,199,56,28,4
충남,2020,2,2675,471,58,127,246,199,83,38,41,138,183,190,101,100,46,83,103,7,14,21,1,57,5,246,81,29,7
전북,2020,2,3018,598,63,138,246,218,98,33,48,163,187,211,106,101,64,71,126,8,28,24,2,78,11,291,80,17,8
전남,2020,2,2651,488,48,125,249,200,100,44,37,162,161,156,76,96,31,81,129,8,14,32,2,54,10,246,71,26,5
경북,2020,2,3193,570,76,179,286,261,117,52,41,163,210,192,117,125,42,97,109,8,14,23,3,76,1,259,117,39,16
경남,2020,2,4895,965,138,239,359,365,203,72,55,278,301,371,159,197,82,133,211,12,42,40,1,129,7,335,124,65,12
제주,2020,2,1035,174,24,35,74,81,37,18,25,53,66,73,37,45,20,28,35,4,8,13,1,35,3,90,50,3,3
세종,2020,2,460,85,9,20,24,26,15,6,6,25,28,63,17,28,13,17,6,2,5,2,0,7,1,41,13,0,1
서울,2020,3,25794,4865,541,1097,1623,1664,687,295,1194,1512,1596,1375,1148,1130,908,725,1415,125,344,304,17,625,100,1931,431,98,44
부산,2020,3,7081,1463,163,309,514,546,212,86,167,381,467,446,315,322,164,187,287,27,78,71,2,170,21,521,104,47,11
인천,2020,3,4536,881,84,168,330,377,168,52,76,235,287,316,176,214,98,129,163,13,39,50,2,127,11,338,148,49,5
대구,2020,3,5181,1034,144,203,378,365,184,53,136,283,322,357,233,223,136,167,200,20,62,51,1,125,21,364,83,18,18
광주,2020,3,3187,653,72,115,225,243,118,34,45,189,209,233,109,138,84,94,127,3,25,39,0,77,8,235,94,13,5
대전,2020,3,3081,580,84,137,190,243,92,50,62,160,193,216,119,133,76,85,142,11,30,29,3,108,7,247,60,20,4
울산,2020,3,1580,305,27,57,121,115,53,23,33,84,114,113,64,69,29,52,74,3,11,13,0,30,4,107,40,31,8
경기,2020,3,20645,3919,447,867,1346,1674,671,222,241,1100,1369,1598,719,1020,534,569,853,62,188,216,16,573,45,1669,570,121,36
강원,2020,3,2225,428,43,91,184,178,85,40,35,127,151,154,75,88,33,55,94,11,15,29,2,59,3,147,77,15,6
충북,2020,3,2161,370,48,112,164,168,85,38,27,125,142,150,82,89,36,65,86,3,10,20,0,59,3,193,55,28,3
충남,2020,3,2679,473,60,124,235,201,86,37,41,138,185,190,100,105,45,83,102,7,13,22,1,61,5,247,82,29,7
전북,2020,3,3007,595,64,137,244,218,100,34,47,165,187,208,105,99,65,69,125,8,27,25,2,79,11,288,80,17,8
전남,2020,3,2644,484,47,125,251,198,100,44,37,162,162,156,74,96,31,81,131,8,15,32,1,53,10,247,67,27,5
경북,2020,3,3182,576,76,180,285,260,117,53,41,164,207,192,117,125,41,97,108,8,14,23,3,76,2,253,110,39,15
경남,2020,3,4893,960,139,242,360,369,204,70,55,277,305,372,160,197,82,134,211,13,40,39,2,127,7,324,126,66,12
제주,2020,3,1045,178,24,37,74,81,38,18,25,52,68,73,37,45,21,28,35,4,8,13,1,35,3,92,49,3,3
세종,2020,3,458,87,9,17,23,24,16,6,6,25,28,61,17,28,13,17,6,2,5,2,0,7,1,43,14,0,1
서울,2020,4,25806,4870,541,1106,1622,1654,684,295,1212,1505,1604,1385,1135,1136,901,722,1410,124,355,300,17,624,98,1941,423,97,45
부산,2020,4,7100,1465,164,308,518,545,212,86,167,381,478,446,314,327,161,188,283,27,78,73,3,163,21,530,104,47,11
인천,2020,4,4554,889,85,170,326,378,165,53,77,236,285,315,184,218,98,128,163,14,43,49,2,130,11,337,147,46,5
대구,2020,4,5180,1041,144,197,380,368,185,54,136,282,325,353,234,224,135,163,197,20,62,51,1,123,20,367,82,18,18
광주,2020,4,3186,655,71,115,224,242,120,34,44,189,212,233,109,139,84,93,128,3,26,38,0,78,8,231,92,13,5
대전,2020,4,3066,588,84,138,193,239,93,49,62,159,192,206,120,133,76,85,141,11,29,29,3,108,7,238,59,19,5
울산,2020,4,1588,302,27,58,123,115,54,24,33,85,116,115,64,69,29,52,74,4,11,13,0,30,4,107,40,31,8
경기,2020,4,20719,3936,452,859,1349,1687,675,217,241,1101,1370,1614,725,1019,535,571,864,62,189,214,17,568,45,1673,581,121,34
강원,2020,4,2228,430,45,90,184,181,84,40,37,126,152,154,74,88,33,55,95,11,15,29,2,60,3,146,74,15,5
충북,2020,4,2171,371,49,111,170,169,86,38,26,125,140,148,85,92,37,64,87,3,10,19,0,59,3,191,55,30,3
충남,2020,4,2673,471,61,125,239,194,82,38,40,137,187,188,101,104,45,83,100,7,14,22,1,59,4,252,82,30,7
전북,2020,4,2998,591,64,135,244,218,102,34,48,167,186,205,103,99,64,70,126,8,27,26,3,78,11,289,76,17,7
전남,2020,4,2615,479,46,123,248,194,99,44,36,160,161,154,74,98,31,81,127,8,14,32,1,52,10,245,67,27,4
경북,2020,4,3168,573,76,175,277,260,120,53,43,164,202,190,114,127,41,100,110,8,13,23,2,78,2,254,110,38,15
경남,2020,4,4891,954,136,243,359,368,202,70,55,276,304,376,162,196,85,133,210,13,42,39,2,129,7,326,126,66,12
제주,2020,4,1050,178,24,36,73,82,37,19,24,51,67,77,39,45,21,28,35,4,9,14,1,35,3,93,49,3,3
세종,2020,4,464,86,9,19,25,27,15,6,6,23,28,63,18,28,13,16,6,2,5,2,0,7,1,44,14,0,1
