Name,Latitude,Longitude
Namsan Seoul Tower,37.5511694,126.9882266
Gyeongbokgung Palace,37.579617,126.977041
63 Square,37.5198332,126.9400724
Bukchon Hanok Village,37.5790313,126.9864082
Changdeokgung Palace,37.5794309,126.9910426
Changgyeonggung Palace,37.5805813,126.995041
National Museum of Korea,37.5238506,126.9804702
Culture Station Seoul 284,37.5559588,126.9715835
War Memorial of Korea,37.5366059,126.9771397
Yongsan Family Park,37.5283021,126.9828521
Seoul Plaza,37.5677018,126.9772803
Seodaemun Prison History Museum,37.5752858,126.9550192
Gwanghwamun Square,37.5716917,126.9776492
Bosingak Belfry,37.5697599,126.9836604
Heunginjimun Gate,37.5711389,127.0095452
Deoksugung Palace,37.5674022,126.9754992
Samcheong-dong Alley,37.5820119,126.9864646
Bangi-dong Baekje Tombs,37.5083768,127.1187791
Myeongdong Cathedral,37.5633245,126.9872338
Hwangudan Altar,37.5645621,126.9787469
The Blue House,37.5862687,126.9766037
National Assembly Building,37.5310582,126.9153816
National Library of Korea,37.4973927,127.0033891
Bukak Skyway Octagonal Pavilion,37.6069015,126.9771509
Banpo Bridge Night View,37.5119827,126.9934223
Lotte World Tower,37.5131008,127.1034334
Sungnyemun Gate,37.559984,126.9753071
Seoullo 7017,37.5546998,126.9694491
Deoksugung Stonewall Walkway,37.5669022,126.9751381
Dongdaemun Design Plaza (DDP),37.5662916,127.0096225
Starfield Library,37.5116828,127.059151
Namdaemun Market Tourist Information Center,37.5587586,126.9770452
Ikseon-dong Hanok Street,37.5733884,126.9909191