,Bukchon Hanok Village,Namsan Seoul Tower,Gyeongbokgung Palace,63 Square,Changdeokgung Palace,Changgyeonggung Palace,National Museum of Korea,Culture Station Seoul 284,War Memorial of Korea,Yongsan Family Park,Seoul Plaza,Seodaemun Prison History Museum,Gwanghwamun Square,Bosingak Belfry,Heunginjimun Gate,Deoksugung Palace,Samcheong-dong Alley,Bangi-dong Baekje Tombs,Myeongdong Cathedral,Hwangudan Altar,The Blue House,National Assembly Building,National Library of Korea,Bukak Skyway Octagonal Pavilion,Banpo Bridge Night View,Lotte World Tower,Sungnyemun Gate,Seoullo 7017,Deoksugung Stonewall Walkway,Dongdaemun Design Plaza (DDP),Starfield Library,Namdaemun Market Tourist Information Center,Ikseon-dong Hanok Street
Bukchon Hanok Village,0,1706,736,2692,815,670,2062,1334,1964,2721,1245,582,714,887,904,1136,1233,3387,784,826,1260,3425,2094,2189,2781,2814,1259,1483,1130,1029,2725,1239,412
Namsan Seoul Tower,1706,0,2105,2970,2151,1884,2204,1387,1962,1879,1882,2208,1729,1387,1507,1687,2037,4119,1153,1337,2438,3039,2886,3403,2173,3056,990,1569,1690,1394,2702,943,1448
Gyeongbokgung Palace,736,2105,0,3185,1019,1236,2390,1357,2128,2463,1150,670,589,1108,1232,1285,1293,3688,1111,1472,782,2217,2422,2109,2752,3129,1085,1529,1327,1356,3040,1038,740
63 Square,2692,2970,3185,0,2823,2884,2272,1217,1785,2498,1447,2512,1455,1573,1939,1536,2999,3504,2852,1455,3060,1306,1680,3412,2233,2696,1566,1263,1528,1784,1909,1532,1739
Changdeokgung Palace,815,2151,1019,2823,0,801,2511,1419,2095,2852,1254,865,798,972,1034,1165,1490,3455,1067,957,1594,3509,2377,2962,3594,3097,1343,1567,1261,1085,3732,1323,843
Changgyeonggung Palace,670,1884,1236,2884,801,0,2244,1587,2212,2969,1313,1187,1230,1136,832,1384,992,3723,1363,1070,1512,3783,2599,2384,3293,4129,1501,1454,1373,955,3440,1303,1046
National Museum of Korea,2062,2204,2390,2272,2511,2244,0,994,1102,1821,1396,1903,2058,1522,1573,1485,2321,3342,1387,1421,2740,2136,1948,3246,1442,2474,1329,1038,1536,1458,2156,1133,1929
Culture Station Seoul 284,1334,1387,1357,1217,1419,1587,994,0,714,1434,280,911,725,406,700,369,1668,3417,516,288,1732,1681,2023,2224,1757,2549,458,779,361,587,2185,262,643
War Memorial of Korea,1964,1962,2128,1785,2095,2212,1102,714,0,1136,942,2096,1562,1068,1119,1031,2483,3351,935,969,2288,2096,1356,2775,1124,2483,877,586,1084,1006,2117,681,1478
Yongsan Family Park,2721,1879,2463,2498,2852,2969,1821,1434,1136,0,1967,2978,2157,1911,2042,1985,3365,3246,1856,1783,3168,2605,1652,4210,1420,2943,1778,1507,1984,1927,2285,1602,2018
Seoul Plaza,1245,1882,1150,1447,1254,1313,1396,280,942,1967,0,1065,488,326,639,509,1466,3050,655,502,1557,1861,2190,2032,2124,2286,571,339,593,608,2436,413,490
Seodaemun Prison History Museum,582,2208,670,2512,865,1187,1903,911,2096,2978,1065,0,689,944,1159,996,993,3612,1185,924,1446,2848,2349,2191,3006,3039,766,1167,949,1284,2950,886,667
Gwanghwamun Square,714,1729,589,1455,798,1230,2058,725,1562,2157,488,689,0,430,848,387,1397,2843,1059,704,1488,1372,2186,1915,2308,2405,599,1020,447,488,2442,607,237
Bosingak Belfry,887,1387,1108,1573,972,1136,1522,406,1068,1911,326,944,430,0,447,413,1569,3247,517,332,1648,1985,2136,2455,2096,2432,565,463,405,760,2559,732,247
Heunginjimun Gate,904,1507,1232,1939,1034,832,1573,700,1119,2042,639,1159,848,447,0,772,1292,2822,649,693,1845,2346,2089,2650,2296,2280,790,741,766,241,2734,590,380
Deoksugung Palace,1136,1687,1285,1536,1165,1384,1485,369,1031,1985,509,996,387,413,772,0,1531,3106,744,591,1622,1950,2279,2050,3216,2375,660,428,669,697,2525,548,500
Samcheong-dong Alley,1233,2037,1293,2999,1490,992,2321,1668,2483,3365,1466,993,1397,1569,1292,1531,0,3717,1114,1133,1510,3732,2424,2519,3111,3144,1739,1790,1545,1359,3055,1546,742
Bangi-dong Baekje Tombs,3387,4119,3688,3504,3455,3723,3342,3417,3351,3246,3050,3612,2843,3247,2822,3106,3717,0,3101,3298,4262,3425,2531,4772,3020,1028,3265,3563,3078,2440,1910,3069,2683
Myeongdong Cathedral,784,1153,1111,2852,1067,1363,1387,516,935,1856,655,1185,1059,517,649,744,1114,3101,0,584,1552,2367,2022,2521,2092,2302,615,566,752,545,2000,415,557
Hwangudan Altar,826,1337,1472,1455,957,1070,1421,288,969,1783,502,924,704,332,693,591,1133,3298,584,0,1694,1869,2198,2144,1978,2264,579,347,376,616,2444,616,498
The Blue House,1260,2438,782,3060,1594,1512,2740,1732,2288,3168,1557,1446,1488,1648,1845,1622,1510,4262,1552,1694,0,3537,3142,2089,3634,3722,1347,1925,1140,2374,3760,1300,1240
National Assembly Building,3425,3039,2217,1306,3509,3783,2136,1681,2096,2605,1861,2848,1372,1985,2346,1950,3732,3425,2367,1869,3537,0,2053,3844,2331,2999,1830,1682,1792,2079,2182,2140,1743
National Library of Korea,2094,2886,2422,1680,2377,2599,1948,2023,1356,1652,2190,2349,2186,2136,2089,2279,2424,2531,2022,2198,3142,2053,0,3758,860,1715,2863,1676,2324,2116,1626,2173,1821
Bukak Skyway Octagonal Pavilion,2189,3403,2109,3412,2962,2384,3246,2224,2775,4210,2032,2191,1915,2455,2650,2050,2519,4772,2521,2144,2089,3844,3758,0,3865,4463,2153,2471,2002,2252,5240,2268,2001
Banpo Bridge Night View,2781,2173,2752,2233,3594,3293,1442,1757,1124,1420,2124,3006,2308,2096,2296,3216,3111,3020,2092,1978,3634,2331,860,3865,0,2088,2696,1512,2238,1917,2570,1607,2430
Lotte World Tower,2814,3056,3129,2696,3097,4129,2474,2549,2483,2943,2286,3039,2405,2432,2280,2375,3144,1028,2302,2264,3722,2999,1715,4463,2088,0,2518,2915,2358,1822,862,3010,2695
Sungnyemun Gate,1259,990,1085,1566,1343,1501,1329,458,877,1778,571,766,599,565,790,660,1739,3265,615,579,1347,1830,2863,2153,2696,2518,0,493,485,672,2511,541,731
Seoullo 7017,1483,1569,1529,1263,1567,1454,1038,779,586,1507,339,1167,1020,463,741,428,1790,3563,566,347,1925,1682,1676,2471,1512,2915,493,0,408,634,2232,309,690
Deoksugung Stonewall Walkway,1130,1690,1327,1528,1261,1373,1536,361,1084,1984,593,949,447,405,766,669,1545,3078,752,376,1140,1792,2324,2002,2238,2358,485,408,0,689,2517,590,571
Dongdaemun Design Plaza (DDP),1029,1394,1356,1784,1085,955,1458,587,1006,1927,608,1284,488,760,241,697,1359,2440,545,616,2374,2079,2116,2252,1917,1822,672,634,689,0,2501,485,388
Starfield Library,2725,2702,3040,1909,3732,3440,2156,2185,2117,2285,2436,2950,2442,2559,2734,2525,3055,1910,2000,2444,3760,2182,1626,5240,2570,862,2511,2232,2517,2501,0,2201,2331
Namdaemun Market Tourist Information Center,1239,943,1038,1532,1323,1303,1133,262,681,1602,413,886,607,732,590,548,1546,3069,415,616,1300,2140,2173,2268,1607,3010,541,309,590,485,2201,0,959
Ikseon-dong Hanok Street,412,1448,740,1739,843,1046,1929,643,1478,2018,490,667,237,247,380,500,742,2683,557,498,1240,1743,1821,2001,2430,2695,731,690,571,388,2331,959,0
